Title;Make;Antenna Type;Model Number;Antenna Size;Directional Gain;Item Type;Path
RFS 6ft 23GHz (Single Polarised);RFS;Single Polarised;23GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 23GHz (Single Polarised);RFS;Single Polarised;23GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 23GHz (Single Polarised);RFS;Single Polarised;23GHz;10ft;;Item;mea/is/cops/Lists/Antennas
RFS 2ft 23GHz (Dual Polarised);RFS;Dual Polarised;23GHz;2ft;;Item;mea/is/cops/Lists/Antennas
RFS 3ft 23GHz (Dual Polarised);RFS;Dual Polarised;23GHz;3ft;;Item;mea/is/cops/Lists/Antennas
RFS 4ft 23GHz (Dual Polarised);RFS;Dual Polarised;23GHz;4ft;;Item;mea/is/cops/Lists/Antennas
RFS 6ft 23GHz (Dual Polarised);RFS;Dual Polarised;23GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 23GHz (Dual Polarised);RFS;Dual Polarised;23GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 23GHz (Dual Polarised);RFS;Dual Polarised;23GHz;10ft;;Item;mea/is/cops/Lists/Antennas
RFS 2ft 26GHz (Single Polarised);RFS;Single Polarised;26GHz;2ft;;Item;mea/is/cops/Lists/Antennas
RFS 3ft 26GHz (Single Polarised);RFS;Single Polarised;26GHz;3ft;;Item;mea/is/cops/Lists/Antennas
RFS 4ft 26GHz (Single Polarised);RFS;Single Polarised;26GHz;4ft;;Item;mea/is/cops/Lists/Antennas
RFS 6ft 26GHz (Single Polarised);RFS;Single Polarised;26GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 26GHz (Single Polarised);RFS;Single Polarised;26GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 26GHz (Single Polarised);RFS;Single Polarised;26GHz;10ft;;Item;mea/is/cops/Lists/Antennas
RFS 2ft 26GHz (Dual Polarised);RFS;Dual Polarised;26GHz;2ft;;Item;mea/is/cops/Lists/Antennas
RFS 3ft 26GHz (Dual Polarised);RFS;Dual Polarised;26GHz;3ft;;Item;mea/is/cops/Lists/Antennas
RFS 4ft 26GHz (Dual Polarised);RFS;Dual Polarised;26GHz;4ft;;Item;mea/is/cops/Lists/Antennas
RFS 6ft 26GHz (Dual Polarised);RFS;Dual Polarised;26GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 26GHz (Dual Polarised);RFS;Dual Polarised;26GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 26GHz (Dual Polarised);RFS;Dual Polarised;26GHz;10ft;;Item;mea/is/cops/Lists/Antennas
RFS 2ft 28GHz (Single Polarised);RFS;Single Polarised;28GHz;2ft;;Item;mea/is/cops/Lists/Antennas
RFS 3ft 28GHz (Single Polarised);RFS;Single Polarised;28GHz;3ft;;Item;mea/is/cops/Lists/Antennas
RFS 4ft 28GHz (Single Polarised);RFS;Single Polarised;28GHz;4ft;;Item;mea/is/cops/Lists/Antennas
RFS 6ft 28GHz (Single Polarised);RFS;Single Polarised;28GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 28GHz (Single Polarised);RFS;Single Polarised;28GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 28GHz (Single Polarised);RFS;Single Polarised;28GHz;10ft;;Item;mea/is/cops/Lists/Antennas
RFS 2ft 28GHz (Dual Polarised);RFS;Dual Polarised;28GHz;2ft;;Item;mea/is/cops/Lists/Antennas
RFS 3ft 28GHz (Dual Polarised);RFS;Dual Polarised;28GHz;3ft;;Item;mea/is/cops/Lists/Antennas
RFS 4ft 28GHz (Dual Polarised);RFS;Dual Polarised;28GHz;4ft;;Item;mea/is/cops/Lists/Antennas
RFS 6ft 28GHz (Dual Polarised);RFS;Dual Polarised;28GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 28GHz (Dual Polarised);RFS;Dual Polarised;28GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 28GHz (Dual Polarised);RFS;Dual Polarised;28GHz;10ft;;Item;mea/is/cops/Lists/Antennas
RFS 2ft 38GHz (Single Polarised);RFS;Single Polarised;38GHz;2ft;;Item;mea/is/cops/Lists/Antennas
RFS 3ft 38GHz (Single Polarised);RFS;Single Polarised;38GHz;3ft;;Item;mea/is/cops/Lists/Antennas
RFS 4ft 38GHz (Single Polarised);RFS;Single Polarised;38GHz;4ft;;Item;mea/is/cops/Lists/Antennas
RFS 6ft 38GHz (Single Polarised);RFS;Single Polarised;38GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 38GHz (Single Polarised);RFS;Single Polarised;38GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 38GHz (Single Polarised);RFS;Single Polarised;38GHz;10ft;;Item;mea/is/cops/Lists/Antennas
RFS 2ft 38GHz (Dual Polarised);RFS;Dual Polarised;38GHz;2ft;;Item;mea/is/cops/Lists/Antennas
RFS 3ft 38GHz (Dual Polarised);RFS;Dual Polarised;38GHz;3ft;;Item;mea/is/cops/Lists/Antennas
RFS 4ft 38GHz (Dual Polarised);RFS;Dual Polarised;38GHz;4ft;;Item;mea/is/cops/Lists/Antennas
RFS 6ft 38GHz (Dual Polarised);RFS;Dual Polarised;38GHz;6ft;;Item;mea/is/cops/Lists/Antennas
RFS 8ft 38GHz (Dual Polarised);RFS;Dual Polarised;38GHz;8ft;;Item;mea/is/cops/Lists/Antennas
RFS 10ft 38GHz (Dual Polarised);RFS;Dual Polarised;38GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Comsol 1ft 5.4GHz (Single Polarised);Comsol;Single Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Comsol 2ft 5.4GHz (Single Polarised);Comsol;Single Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Comsol 3ft 5.4GHz (Single Polarised);Comsol;Single Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Comsol 4ft 5.4GHz (Single Polarised);Comsol;Single Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Comsol 6ft 5.4GHz (Single Polarised);Comsol;Single Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Comsol 8ft 5.4GHz (Single Polarised);Comsol;Single Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Comsol 10ft 5.4GHz (Single Polarised);Comsol;Single Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Comsol 1ft 5.4GHz (Dual Polarised);Comsol;Dual Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Comsol 2ft 5.4GHz (Dual Polarised);Comsol;Dual Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Comsol 3ft 5.4GHz (Dual Polarised);Comsol;Dual Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Comsol 4ft 5.4GHz (Dual Polarised);Comsol;Dual Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Comsol 6ft 5.4GHz (Dual Polarised);Comsol;Dual Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Comsol 8ft 5.4GHz (Dual Polarised);Comsol;Dual Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Comsol 10ft 5.4GHz (Dual Polarised);Comsol;Dual Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Comsol 1ft 5.8GHz (Single Polarised);Comsol;Single Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Comsol 2ft 5.8GHz (Single Polarised);Comsol;Single Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Comsol 3ft 5.8GHz (Single Polarised);Comsol;Single Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Comsol 4ft 5.8GHz (Single Polarised);Comsol;Single Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Comsol 6ft 5.8GHz (Single Polarised);Comsol;Single Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Comsol 8ft 5.8GHz (Single Polarised);Comsol;Single Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Comsol 10ft 5.8GHz (Single Polarised);Comsol;Single Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Comsol 1ft 5.8GHz (Dual Polarised);Comsol;Dual Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Comsol 2ft 5.8GHz (Dual Polarised);Comsol;Dual Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Comsol 3ft 5.8GHz (Dual Polarised);Comsol;Dual Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Comsol 4ft 5.8GHz (Dual Polarised);Comsol;Dual Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Comsol 6ft 5.8GHz (Dual Polarised);Comsol;Dual Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Comsol 8ft 5.8GHz (Dual Polarised);Comsol;Dual Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Comsol 10ft 5.8GHz (Dual Polarised);Comsol;Dual Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Proxim 1ft 5.4GHz (Single Polarised);Proxim;Single Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Proxim 2ft 5.4GHz (Single Polarised);Proxim;Single Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Proxim 3ft 5.4GHz (Single Polarised);Proxim;Single Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Proxim 4ft 5.4GHz (Single Polarised);Proxim;Single Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Proxim 6ft 5.4GHz (Single Polarised);Proxim;Single Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Proxim 8ft 5.4GHz (Single Polarised);Proxim;Single Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Proxim 10ft 5.4GHz (Single Polarised);Proxim;Single Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Proxim 1ft 5.4GHz (Dual Polarised);Proxim;Dual Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Proxim 2ft 5.4GHz (Dual Polarised);Proxim;Dual Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Proxim 3ft 5.4GHz (Dual Polarised);Proxim;Dual Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Proxim 4ft 5.4GHz (Dual Polarised);Proxim;Dual Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Proxim 6ft 5.4GHz (Dual Polarised);Proxim;Dual Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Proxim 8ft 5.4GHz (Dual Polarised);Proxim;Dual Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Proxim 10ft 5.4GHz (Dual Polarised);Proxim;Dual Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Proxim 1ft 5.8GHz (Single Polarised);Proxim;Single Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Proxim 2ft 5.8GHz (Single Polarised);Proxim;Single Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Proxim 3ft 5.8GHz (Single Polarised);Proxim;Single Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Proxim 4ft 5.8GHz (Single Polarised);Proxim;Single Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Proxim 6ft 5.8GHz (Single Polarised);Proxim;Single Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Proxim 8ft 5.8GHz (Single Polarised);Proxim;Single Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Proxim 10ft 5.8GHz (Single Polarised);Proxim;Single Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Proxim 1ft 5.8GHz (Dual Polarised);Proxim;Dual Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Proxim 2ft 5.8GHz (Dual Polarised);Proxim;Dual Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Proxim 3ft 5.8GHz (Dual Polarised);Proxim;Dual Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Proxim 4ft 5.8GHz (Dual Polarised);Proxim;Dual Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Proxim 6ft 5.8GHz (Dual Polarised);Proxim;Dual Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Proxim 8ft 5.8GHz (Dual Polarised);Proxim;Dual Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Proxim 10ft 5.8GHz (Dual Polarised);Proxim;Dual Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Proxim 1ft 5GHz (Flat Panel);Proxim;Flat Panel;5GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Proxim 2ft 5GHz (Flat Panel);Proxim;Flat Panel;5GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Proxim 3ft 5GHz (Flat Panel);Proxim;Flat Panel;5GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Proxim 4ft 5GHz (Flat Panel);Proxim;Flat Panel;5GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mars 1ft 5.4GHz (Single Polarised);Mars;Single Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mars 2ft 5.4GHz (Single Polarised);Mars;Single Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mars 3ft 5.4GHz (Single Polarised);Mars;Single Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mars 4ft 5.4GHz (Single Polarised);Mars;Single Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mars 6ft 5.4GHz (Single Polarised);Mars;Single Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mars 8ft 5.4GHz (Single Polarised);Mars;Single Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mars 10ft 5.4GHz (Single Polarised);Mars;Single Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Mars 1ft 5.4GHz (Dual Polarised);Mars;Dual Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mars 2ft 5.4GHz (Dual Polarised);Mars;Dual Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mars 3ft 5.4GHz (Dual Polarised);Mars;Dual Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mars 4ft 5.4GHz (Dual Polarised);Mars;Dual Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mars 6ft 5.4GHz (Dual Polarised);Mars;Dual Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mars 8ft 5.4GHz (Dual Polarised);Mars;Dual Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mars 10ft 5.4GHz (Dual Polarised);Mars;Dual Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Mars 1ft 5.8GHz (Single Polarised);Mars;Single Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mars 2ft 5.8GHz (Single Polarised);Mars;Single Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mars 3ft 5.8GHz (Single Polarised);Mars;Single Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mars 4ft 5.8GHz (Single Polarised);Mars;Single Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mars 6ft 5.8GHz (Single Polarised);Mars;Single Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mars 8ft 5.8GHz (Single Polarised);Mars;Single Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mars 10ft 5.8GHz (Single Polarised);Mars;Single Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Mars 1ft 5.8GHz (Dual Polarised);Mars;Dual Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mars 2ft 5.8GHz (Dual Polarised);Mars;Dual Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mars 3ft 5.8GHz (Dual Polarised);Mars;Dual Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mars 4ft 5.8GHz (Dual Polarised);Mars;Dual Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mars 6ft 5.8GHz (Dual Polarised);Mars;Dual Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mars 8ft 5.8GHz (Dual Polarised);Mars;Dual Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mars 10ft 5.8GHz (Dual Polarised);Mars;Dual Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Mwave 1ft 5.4GHz (Single Polarised);Mwave;Single Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mwave 2ft 5.4GHz (Single Polarised);Mwave;Single Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mwave 3ft 5.4GHz (Single Polarised);Mwave;Single Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mwave 4ft 5.4GHz (Single Polarised);Mwave;Single Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mwave 6ft 5.4GHz (Single Polarised);Mwave;Single Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mwave 8ft 5.4GHz (Single Polarised);Mwave;Single Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mwave 10ft 5.4GHz (Single Polarised);Mwave;Single Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Mwave 1ft 5.4GHz (Dual Polarised);Mwave;Dual Polarised;5.4GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mwave 2ft 5.4GHz (Dual Polarised);Mwave;Dual Polarised;5.4GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mwave 3ft 5.4GHz (Dual Polarised);Mwave;Dual Polarised;5.4GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mwave 4ft 5.4GHz (Dual Polarised);Mwave;Dual Polarised;5.4GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mwave 6ft 5.4GHz (Dual Polarised);Mwave;Dual Polarised;5.4GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mwave 8ft 5.4GHz (Dual Polarised);Mwave;Dual Polarised;5.4GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mwave 10ft 5.4GHz (Dual Polarised);Mwave;Dual Polarised;5.4GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Mwave 1ft 5.8GHz (Single Polarised);Mwave;Single Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mwave 2ft 5.8GHz (Single Polarised);Mwave;Single Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mwave 3ft 5.8GHz (Single Polarised);Mwave;Single Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mwave 4ft 5.8GHz (Single Polarised);Mwave;Single Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mwave 6ft 5.8GHz (Single Polarised);Mwave;Single Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mwave 8ft 5.8GHz (Single Polarised);Mwave;Single Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mwave 10ft 5.8GHz (Single Polarised);Mwave;Single Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Mwave 1ft 5.8GHz (Dual Polarised);Mwave;Dual Polarised;5.8GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Mwave 2ft 5.8GHz (Dual Polarised);Mwave;Dual Polarised;5.8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Mwave 3ft 5.8GHz (Dual Polarised);Mwave;Dual Polarised;5.8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Mwave 4ft 5.8GHz (Dual Polarised);Mwave;Dual Polarised;5.8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Mwave 6ft 5.8GHz (Dual Polarised);Mwave;Dual Polarised;5.8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Mwave 8ft 5.8GHz (Dual Polarised);Mwave;Dual Polarised;5.8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Mwave 10ft 5.8GHz (Dual Polarised);Mwave;Dual Polarised;5.8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Faini 1ft 28GHz (Sector Antenna);Faini;Sector Antenna;28GHz;1ft;;Item;mea/is/cops/Lists/Antennas
Grante 1ft 28GHz (Sector Antenna);Grante;Sector Antenna;28GHz;1ft;;Item;mea/is/cops/Lists/Antennas
